Rank,Major,Degree,Early Career Pay(in $),Mid-Career Pay(in $),% High Meaning
572,Audio Engineering,Bachelors,53800,82800,40%
573,Middle Eastern Studies,Bachelors,65300,82700,47%
573,Health,Bachelors,49600,82700,70%
575,Hospitality Management,Bachelors,53100,82600,43%
575,Health Care Management,Bachelors,51700,82600,75%
575,Painting & Printmaking,Bachelors,39300,82600,46%
578,Multimedia & Web Design,Bachelors,55700,82500,31%
579,Health Administration,Bachelors,48700,82400,66%
579,Natural Resource Management,Bachelors,52800,82400,54%
579,Psychology & Social Behavior,Bachelors,51100,82400,58%
582,Communication Management,Bachelors,51700,82300,45%
582,Health Sciences,Bachelors,50700,82300,70%
582,Nutrition Science,Bachelors,57100,82300,67%
582,Web Design,Bachelors,53900,82300,29%
586,Health Management,Bachelors,50400,82200,70%
586,Life Sciences,Bachelors,59700,82200,60%
588,Anthropology,Bachelors,53200,82100,47%
588,Music,Bachelors,51000,82100,55%
590,Ecology,Bachelors,53200,82000,59%
590,Human Resources Development,Bachelors,55200,82000,51%
590,SocialStudies,Bachelors,52700,82000,56%
593,New Media,Bachelors,51600,81900,37%
593,Psychiatry,Bachelors,64300,81900,50%
595,Sociology,Bachelors,52800,81800,55%
596,Health Care Administration,Bachelors,52100,81600,68%
597,Interior Design,Bachelors,51300,81500,51%
597,Respiratory Care,Bachelors,61800,81500,85%
599,Health Information Management,Bachelors,55000,81300,68%
599,Art & Design,Bachelors,51100,81300,39%
601,Child Psychology,Bachelors,48400,81100,62%
602,Clinical Laboratory Science,Bachelors,61700,81000,82%
602,Diagnostic Medical Imaging,Bachelors,68300,81000,73%
602,Humanities,Bachelors,55900,81000,54%
602,Medical Laboratory Science,Bachelors,62700,81000,86%
602,Theater,Bachelors,51200,81000,49%
607,Kinesiology,Bachelors,51100,80900,66%
608,Exercise Physiology,Bachelors,49100,80800,75%
608,Forensic Accounting,Bachelors,51900,80800,44%
608,Secondary Education,Bachelors,50700,80800,58%
611,Multidisciplinary Studies,Bachelors,49600,80700,52%
612,Archaeology,Bachelors,51100,80500,45%
612,Communication Arts,Bachelors,47800,80500,40%
614,Arts & Science,Bachelors,51700,80400,-
614,Illustration,Bachelors,51300,80400,38%
614,Sustainability,Bachelors,54900,80400,58%
617,Hotel & Restaurant Tourism,Bachelors,48900,80300,-
617,Radiography,Bachelors,62400,80300,83%
619,Media Communication,Bachelors,53000,80200,44%
619,Respiratory Therapy,Bachelors,61800,80200,83%
621,Applied Behavior Analysis,Bachelors,43400,80000,88%
622,Technology Teacher Education,Bachelors,54000,79800,-
623,Professional Studies,Bachelors,47500,79300,67%
624,Communications Technology,Bachelors,52500,79200,32%
625,Biological Anthropology,Bachelors,52200,79000,46%
625,Art Therapy,Bachelors,46100,79000,84%
625,Commercial Photography,Bachelors,48900,79000,28%
628,Liberal Studies,Bachelors,51000,78900,56%
628,Radio & Television,Bachelors,49000,78900,40%
630,Nutrition,Bachelors,52800,78600,65%
631,Plant Sciences,Bachelors,55500,78400,57%
632,Graphic Design,Bachelors,51300,78300,38%
633,Legal Studies,Bachelors,53300,78200,52%
633,Nutrition & Dietetics,Bachelors,57200,78200,71%
635,Turfgrass Management,Bachelors,53300,78100,38%
636,Dietetics,Bachelors,57500,78000,74%
636,Interdisciplinary Studies (IS),Bachelors,50700,78000,57%
638,Fashion Design & Marketing,Bachelors,55900,77900,50%
639,Applied Sociology,Bachelors,47500,77800,57%
639,Hospital Management,Bachelors,62300,77800,-
639,Religion,Bachelors,50500,77800,56%
642,Medical Technology,Bachelors,61000,77700,82%
643,Art Administration,Bachelors,45600,77600,53%
643,Criminal Justice,Bachelors,48600,77600,56%
643,Fine Arts,Bachelors,49000,77600,45%
646,Criminal Law,Bachelors,62800,77400,-
646,Forensic Science,Bachelors,51300,77400,63%
648,Philosophy & Religious Studies,Bachelors,55600,77300,61%
648,Public Health (PH),Bachelors,52300,77300,70%
650,Speech-Language Pathology,Bachelors,49600,77100,68%
651,Landscape Management,Bachelors,58700,77000,-
651,Women's Studies,Bachelors,51200,77000,60%
653,Forensic Psychology,Bachelors,48300,76900,57%
653,Modern Language Spanish,Bachelors,51100,76900,63%
655,Educational Studies (ED),Bachelors,45300,76800,66%
655,Physical Geography,Bachelors,55000,76800,58%
657,Culture Studies,Bachelors,50700,76700,53%
657,Pastoral Studies,Bachelors,58900,76700,-
659,Dramatic Art,Bachelors,47100,76600,-
660,Music Industry,Bachelors,52200,76400,38%
661,Performing Arts,Bachelors,51300,76300,56%
662,African American & African Studies,Bachelors,54300,76100,61%
663,Animal Science,Bachelors,46800,76000,66%
663,Ornamental Horticulture,Bachelors,51600,76000,67%
665,Hospitality & Tourism,Bachelors,51400,75900,40%
666,Education,Bachelors,50600,75800,65%
667,Foods & Nutrition,Bachelors,52800,75300,68%
668,Fashion & Retail Management,Bachelors,55800,75000,30%
669,Music Composition,Bachelors,49400,74900,52%
669,Small Business Management,Bachelors,52900,74900,36%
671,Clinical Nutrition,Bachelors,58700,74800,-
672,Painting,Bachelors,47400,74700,44%
673,Speech Pathology & Audiology,Bachelors,51400,74600,75%
674,Psychology & Sociology,Bachelors,48600,74400,53%
674,Physical Education Teaching,Bachelors,48000,74400,68%
676,Clinical Psychology,Bachelors,47500,74300,65%
677,Health Studies,Bachelors,49500,74200,64%
677,Instrumental Music Teacher Education,Bachelors,48000,74200,69%
679,Technical Theatre,Bachelors,46400,74100,41%
680,Art,Bachelors,49500,73900,46%
680,Social & Criminal Justice,Bachelors,49900,73900,55%
682,Consumer Affairs,Bachelors,57200,73800,44%
682,Family & Consumer Science,Bachelors,49400,73800,61%
684,Network Technology,Bachelors,63500,73700,60%
685,Photography,Bachelors,49600,73600,39%
685,Video Production,Bachelors,48600,73600,36%
687,International Trade,Bachelors,54100,73400,44%
688,Horticulture & Agronomy,Bachelors,58900,73200,-
688,Missions,Bachelors,45400,73200,-
690,General Studies,Bachelors,49600,73100,53%
690,Health Services Administration,Bachelors,49000,73100,64%
692,Justice Studies,Bachelors,51500,73000,49%
693,Culinary Arts,Bachelors,44600,72800,55%
693,Physical Therapist Assistant Studies,Bachelors,55100,72800,-
695,English Teacher Education,Bachelors,48800,72600,56%
695,Exercise & Sports Science,Bachelors,48000,72600,71%
695,Health & Exercise Science,Bachelors,46900,72600,66%
695,Recreation & Leisure Studies,Bachelors,47100,72600,59%
695,Sports Administration,Bachelors,49700,72600,47%
700,Graphic Arts,Bachelors,48000,72400,44%
701,Supervision & Management,Bachelors,48000,72100,60%
701,Secondary English Teacher Education,Bachelors,49800,72100,62%
703,Exercise Science,Bachelors,47300,72000,72%
703,Interior Design & Merchandising,Bachelors,50200,72000,41%
705,Health & Wellness,Bachelors,45500,71900,69%
706,Restaurant & Food Service Management,Bachelors,50100,71800,40%
707,Behavioral Science,Bachelors,49800,71700,60%
707,Culinary Arts & Food Service Management,Bachelors,48300,71700,48%
707,Event Management,Bachelors,48200,71700,42%
707,Theology,Bachelors,49600,71700,68%
711,Wildlife Management,Bachelors,44500,71600,46%
712,Health & Physical Education Teaching,Bachelors,44000,71500,62%
712,Ministry,Bachelors,41500,71500,80%
712,Mortuary Science,Bachelors,48800,71500,78%
715,Media Production,Bachelors,49000,71200,35%
716,Communicative Disorders,Bachelors,53300,71000,71%
716,Health Services Management,Bachelors,47400,71000,87%
718,Paralegal Studies,Bachelors,45200,70800,49%
718,Social Science Teacher Education,Bachelors,51000,70800,-
720,Recreation Administration,Bachelors,54200,70600,66%
720,Rehabilitation Counseling,Bachelors,44100,70600,-
722,Audio Production,Bachelors,49800,70500,45%
722,Radio Broadcasting,Bachelors,51000,70500,39%
724,Community Health,Bachelors,52500,70300,73%
725,Drawing,Bachelors,43400,70100,37%
726,Dance,Bachelors,50600,69900,59%
727,Music Teacher Education,Bachelors,47700,69800,58%
728,Gender Studies,Bachelors,51200,69700,55%
728,Photojournalism,Bachelors,46800,69700,55%
730,Family & Community Services,Bachelors,48400,69600,77%
731,Conservation Biology,Bachelors,48100,69500,53%
731,Drawing & Painting,Bachelors,48900,69500,45%
733,Organizational Administration,Bachelors,51100,69400,-
733,Vocal Performance,Bachelors,48400,69400,62%
735,Clinical Social Work (CSW),Bachelors,48600,69200,-
735,Tourism & Travel,Bachelors,45200,69200,38%
735,Tourism Management,Bachelors,48900,69200,38%
738,Wildlife Biology,Bachelors,48200,68900,58%
739,Teaching English as a Second Language (ESL),Bachelors,48800,68800,67%
740,Parks & Recreation Management,Bachelors,49000,68700,59%
741,Social Services,Bachelors,44800,68500,78%
742,Elementary Special Education,Bachelors,51200,68300,81%
743,Ceramics,Bachelors,49500,68000,45%
743,Horticulture,Bachelors,48400,68000,56%
743,Landscape Design,Bachelors,57100,68000,62%
746,Rehabilitation Services,Bachelors,41300,67600,74%
746,Speech & Hearing,Bachelors,51400,67600,72%
748,Sculpture,Bachelors,44700,67200,48%
749,Health Promotion,Bachelors,47700,67000,71%
750,Athletic Training,Bachelors,47700,66900,75%
751,Family Studies,Bachelors,45000,66800,60%
752,History Teacher Education,Bachelors,51800,66700,47%
752,Social Studies Teacher Education,Bachelors,49200,66700,59%
754,Biblical Studies & Practical Ministries,Bachelors,45400,66600,-
755,Communication Sciences & Disorders,Bachelors,49900,66500,75%
756,Emergency Medical Services (EMS),Bachelors,47300,66300,-
757,Deaf Studies,Bachelors,43700,66100,-
758,Community Health Education,Bachelors,48600,65800,70%
759,Musical Theatre,Bachelors,50000,65500,46%
760,Pastoral Ministry,Bachelors,43500,65200,76%
761,Bible Studies & Theology,Bachelors,44800,65100,68%
762,Biblical Studies,Bachelors,47000,65000,71%
763,Christian Ministry,Bachelors,43000,64500,75%
764,Human Development & Family Studies,Bachelors,45400,64400,63%
765,Church Ministries,Bachelors,43600,64300,79%
766,Community Development,Bachelors,50300,63600,69%
767,Music Therapy,Bachelors,48500,63500,95%
768,Voice & Opera,Bachelors,38700,63200,53%
769,Legal Assistant Studies,Bachelors,42000,63000,39%
770,Health and Human Services,Bachelors,48800,62900,64%
771,Home Economics,Bachelors,47700,62800,69%
772,Special Education,Bachelors,46400,62700,75%
773,Conflict Resolution,Bachelors,52000,62100,50%
774,Educational Psychology,Bachelors,45900,61800,-
774,Developmental Psychology,Bachelors,42900,61800,-
776,Youth Ministry,Bachelors,42800,61700,74%
777,Therapeutic Recreation,Bachelors,44900,61500,83%
778,Community & Human Services,Bachelors,48100,61300,79%
778,Social Work (SW),Bachelors,43300,61300,76%
780,Elementary Education,Bachelors,45800,60700,68%
781,Office Administration,Bachelors,43400,60500,67%
782,Christian Education,Bachelors,45300,60300,84%
783,Counseling,Bachelors,45100,59600,79%
783,Human Services (HS),Bachelors,44400,59600,70%
785,Health & Human Performance,Bachelors,43000,58900,67%
786,Mental Health Counseling,Bachelors,40600,58500,-
786,Middle School Education,Bachelors,47200,58500,76%
788,Child Development,Bachelors,42200,57900,73%
789,Recreational Therapy,Bachelors,44900,57200,84%
790,Early Childhood & Elementary Education,Bachelors,43400,56500,76%
791,Outdoor Education,Bachelors,42200,55200,51%
792,Baking & Pastry Arts,Bachelors,42400,54900,38%
793,Mental Health,Bachelors,42700,52900,76%
794,Child & Family Studies,Bachelors,41600,52700,73%
795,Equine Studies,Bachelors,40300,52500,50%
796,Addictions Counseling,Bachelors,45900,52200,78%
797,Nonprofit Administration,Bachelors,42800,52100,72%
798,Early Childhood Education,Bachelors,41700,50600,77%
799,Metalsmithing,Bachelors,44700,44900,36%

